廠商\政黨,中國國民黨,民主進步黨,時代力量,無黨及其他
上豐加油站股份有限公司,0.0,0.0,0.0,0.0
上豐工業社,0.0,0.0,0.0,0.0
上豐蛋品有限公司,0.0,10000.0,0.0,0.0
上豪企業有限公司,0.0,0.0,0.0,0.0
上豪租賃股份有限公司,0.0,100000.0,0.0,0.0
上逸建設有限公司,0.0,300000.0,0.0,0.0
上野景觀工程股份有限公司,0.0,0.0,0.0,0.0
上銀科技股份有限公司,0.0,0.0,0.0,0.0
上銓鑫股份有限公司,0.0,0.0,0.0,0.0
上鋐企業有限公司,10000.0,0.0,0.0,0.0
上陞工業股份有限公司,0.0,0.0,0.0,0.0
上陞建材有限公司,0.0,20000.0,0.0,0.0
上霸營造有限公司,0.0,0.0,0.0,0.0
上靖工程有限公司,0.0,60000.0,0.0,0.0
上順包裝材料企業有限公司,0.0,0.0,0.0,0.0
上順旅行社股份有限公司,0.0,0.0,0.0,0.0
上鳴興業有限公司,0.0,100000.0,0.0,0.0
上鶴股份有限公司,0.0,0.0,0.0,0.0
上鷹國際股份有限公司,0.0,0.0,0.0,0.0
不二齋企業社,0.0,0.0,0.0,0.0
世一通運股份有限公司,0.0,0.0,0.0,0.0
世全塗料有限公司,0.0,0.0,0.0,0.0
世全駕訓班,0.0,0.0,0.0,0.0
世合世展業有限公司,0.0,0.0,0.0,0.0
世展工業有限公司,0.0,100000.0,0.0,0.0
世弘工程股份有限公司,600000.0,0.0,0.0,0.0
世強貨運有限公司,10000.0,0.0,0.0,0.0
世強電梯企業有限公司,0.0,0.0,0.0,0.0
世技水電工程實業股份有限公司,10000.0,0.0,0.0,0.0
世新大飯店股份有限公司,400000.0,0.0,0.0,0.0
世新貨櫃企業股份有限公司,0.0,0.0,0.0,0.0
世晟汽車商行,0.0,0.0,0.0,0.0
世暘工廠產業股份有限公司,0.0,200000.0,0.0,0.0
世暘工業產業股份有限公司,0.0,0.0,0.0,0.0
世有廷開發建設有限公司,0.0,50000.0,0.0,0.0
世棋企業股份有限公司,0.0,0.0,0.0,0.0
世樺中醫診所,0.0,50000.0,0.0,0.0
世樺國際聯運有限公司,0.0,0.0,0.0,0.0
世瀅工業股份有限公司,0.0,0.0,0.0,0.0
世益電子工業股份有限公司,0.0,0.0,0.0,0.0
世盛消防設備檢修有限公司,0.0,20000.0,0.0,0.0
世祥汽材製造廠有限公司,0.0,0.0,0.0,0.0
世祥汽材製造廠股份有限公司,300000.0,0.0,0.0,0.0
世竑工業有限公司,0.0,50000.0,0.0,0.0
世紀聯合法律事務所,0.0,0.0,0.0,0.0
世紀貿易有限公司,0.0,0.0,0.0,0.0
世紀鋼鐵結構股份有限公司,0.0,0.0,0.0,0.0
世綺企業有限公司,0.0,170000.0,0.0,0.0
世緯貿易有限公司,0.0,20000.0,0.0,0.0
世總室內裝修設計有限公司,0.0,200000.0,0.0,0.0
世翔人力資源管理顧問有限公司,0.0,10000.0,0.0,0.0
